conversation_id,agent_id,llm_cost,status,call_duration,date
conv_4601kwbqgqh0e18b0ga67degamh7,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.3081813499999999,done,186,2026-06-30 07:39:52
conv_4101kwb7dqw6e7q9x1z8p8f3pj5q,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.2858576,done,191,2026-06-30 02:58:37
conv_1601kw8pgqyqevftg9wfsm7ngzwa,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.29761305,done,195,2026-06-29 03:24:41
conv_8601kw40sfdtee7vhj7nbmwfgrrc,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,1.1658605,done,135,2026-06-27 07:48:00
conv_1001kw3tw5mzfcvabv5b5d2yt9n1,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,1.72949315,done,208,2026-06-27 06:04:37
conv_8001kw3pw30hesmsex16y9sr2cjt,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.1322461,done,120,2026-06-27 04:54:40
conv_6701kw198khtew4vjkngfwqzz2an,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.6474252999999998,done,116,2026-06-26 06:18:21
conv_7201kvy8kapfe8rb3pt1jv2yvrg2,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,11,2026-06-25 02:09:01
conv_3201kvy3n34tet6849n0gydybf3b,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.55679085,done,113,2026-06-25 00:42:36
conv_0701kvy38kf9e87rq6j0rxtqe8ah,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.15191155,done,34,2026-06-25 00:35:46
conv_4701kvwca30vew6rpaad0r4rc8yz,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,7,2026-06-24 08:35:23
conv_5401kvwc8arsekkb4tqpsetatbqw,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,18,2026-06-24 08:34:26
conv_1201kvse9ytwfgyrf6435rv0b563,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.1306843999999999,done,95,2026-06-23 05:12:33
conv_8401kvq2mt02fywsqbdrj49g4jrz,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.424578,done,51,2026-06-22 07:10:17
conv_9301kvq0yjsjebdvy2vz9jtjz7xn,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.17341275,done,22,2026-06-22 06:40:40
conv_8001kvphhbmnertb85cjn8pxse9r,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.2502605,done,24,2026-06-22 02:11:18
conv_6201kvpdkcqfesqsgq9p2n8y08qt,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0128831499999999,done,19,2026-06-22 01:02:30
conv_3601kvpdhnpdf2x8ap9cwm8kwa2p,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.1252125,done,19,2026-06-22 01:01:34
conv_1701kvh9wah2emjahqqdt3e2jyfx,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.5059057499999999,done,120,2026-06-20 01:21:17
conv_4001kvh866rneb0rzwkbxk8dvhmj,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.38958115,done,32,2026-06-20 00:51:43
conv_9101kvh68tt7e1pa43j5eje73kr8,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,1.4526620499999998,done,161,2026-06-20 00:18:12
conv_6001kvf3vh3qf20afw36v8nq6fk3,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0133924,done,11,2026-06-19 04:57:30
conv_0701kvem1dqbe4pty71vv3pnysjm,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,1.0884856499999995,done,88,2026-06-19 00:21:06
conv_5301kvekx18pep8v1x8p3am8y2g2,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.12534025,done,11,2026-06-19 00:18:42
conv_7101kvejgmzbexfrm2p4xq85yycb,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,3,2026-06-18 23:54:28
conv_6001kvejetmmfmsbzrxykt4ngndn,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.125356,done,13,2026-06-18 23:53:28
conv_9001kvckpmewf0st0frkdz5vx428,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,1.0312179499999998,done,173,2026-06-18 05:36:44
conv_6101kvcj7anfeg7rjt4edbqdpars,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,3,2026-06-18 05:10:54
conv_5701kvc1jbbyebptz9sjmgqrsmy0,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,31,2026-06-18 00:19:49
conv_1701kv7n1v4geq58p5yd76xzy699,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.9149241499999998,done,142,2026-06-16 07:24:07
conv_8501kv7gk0baegva9vggtpwgzr14,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,6,2026-06-16 06:06:07
conv_4901kv7944j1ea3a00cx2qkd3066,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,2,2026-06-16 03:55:40
conv_4701kv6mqba1fddab8j4ed317gtv,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,1.4790390999999998,done,146,2026-06-15 21:59:09
conv_5901kv55g3z9evcrg15z5r5yf1s4,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.1252125,done,29,2026-06-15 08:13:49
conv_0601kv4qpqa3e8r963f6pxvean0t,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.4448388000000001,done,130,2026-06-15 04:12:45
conv_9601kv2bgdkzedkr03tzr4hd4n3p,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.67266605,done,200,2026-06-14 06:01:07
conv_9201ktxdsxaweyytb42zj378v978,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,7,2026-06-12 08:05:03
conv_0701ktwngb4re7yv99f0d8zyv3ev,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.25035675,done,38,2026-06-12 01:00:24
conv_6701kttq7fg1eavtjdndwtbtwj9b,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,2.0022345000000006,done,180,2026-06-11 06:52:02
conv_3801kttfhgfjeaf9axe5stqyfy47,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.69262515,done,126,2026-06-11 04:37:42
conv_1001ktqe8j4tff7rzrs72ed1ygzs,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,1.2329519999999998,done,152,2026-06-10 00:17:37
conv_8801ktnh8t2bfkyv2hgv00nn5j14,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,7,2026-06-09 06:31:42
conv_2101ktnewkzqe52t0aj44vv6rtag,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.7694648500000001,done,138,2026-06-09 05:50:05
conv_1201ktn5y68yfadt2atc6vkhy170,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.19168485,done,82,2026-06-09 03:13:39
conv_6101ktn2vs90extvkks6qyx4nwn9,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.2444001,done,89,2026-06-09 02:19:55
conv_4601ktjvvzqgf1evg2k80kdjnbcr,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.6084274,done,179,2026-06-08 05:39:12
