conversation_id,agent_id,llm_cost,status,call_duration,date
conv_0201krta8z24e6tbjnc9ctppvfnb,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,4.8836774,done,219,2026-05-17 06:34:15
conv_6501krqspwyff89awp9693jq6mgr,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.21287245,done,30,2026-05-16 07:06:17
conv_1801krqaknzgfft8w8a6e2ef7n9w,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.026593699999999994,done,25,2026-05-16 02:42:23
conv_2601krqah0zzfgsr679898exfs59,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.319634,done,150,2026-05-16 02:40:56
conv_7901krn5yr72enmanf69d90c0x1f,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.012969599999999998,done,30,2026-05-15 06:42:34
conv_7201krn3w8rbedn9y3rsefqkmgxq,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.17813214999999996,done,58,2026-05-15 06:06:15
conv_5601krn3na6pezv9n70xdd7k48b3,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,5,2026-05-15 06:02:28
conv_1001krmywhckekpttnxmjh5hjqcn,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,5,2026-05-15 04:39:01
conv_0401krmts0t3fc79jntf7qrvvs72,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,2,2026-05-15 03:27:12
conv_7501krmjme40fmprpv80h8qrq86t,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.5380389,done,82,2026-05-15 01:04:53
conv_5401krjhh527efm8j5ab3yv1pgs8,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.24263400000000004,done,101,2026-05-14 06:07:08
conv_3201krjgm2jsf6jamcj6a04jt20g,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.3645407499999999,done,87,2026-05-14 05:51:15
conv_5601krje6c1wehwtkkhje14qp8yr,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.012729849999999997,done,20,2026-05-14 05:08:49
conv_0301krj8pr9af1k8cyasttcehsdt,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.4055436,done,145,2026-05-14 03:32:54
conv_7401krht33byf2eskgdwnh9q7vp7,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.6586145999999999,done,60,2026-05-13 23:17:30
conv_8501krg464zbfkcr2aawtw16kxzy,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.7072779,done,187,2026-05-13 07:35:27
