From,Status,Price,Date Created
+61455502910,Completed,-0.03,2026-05-03T23:05:58.000Z
+61429022998,Completed,-0.01,2026-05-03T04:01:03.000Z
+61457047556,Completed,-0.02,2026-05-03T02:43:26.000Z
+61862895547,Completed,-0.01,2026-05-02T05:04:05.000Z
+61737228990,Completed,-0.01,2026-05-02T04:08:24.000Z
+61433917765,Completed,-0.04,2026-05-02T03:30:27.000Z
+61876660507,Completed,-0.2016,2026-05-01T07:32:35.000Z
+61439699136,Completed,-0.09,2026-05-01T07:30:57.000Z
+61424274018,Completed,-0.01,2026-05-01T06:55:45.000Z
+61876660507,Completed,-0.1512,2026-05-01T06:42:34.000Z
+61413423432,Completed,-0.07,2026-05-01T06:40:59.000Z
+61428938674,Completed,-0.01,2026-05-01T06:25:25.000Z
+61876660507,Completed,-0.3024,2026-05-01T06:02:42.000Z
+61414840159,Completed,-0.13,2026-05-01T06:01:06.000Z
+61876660507,Completed,-0.126,2026-05-01T05:58:48.000Z
+61452630385,Completed,-0.06,2026-05-01T05:57:39.000Z
+61876660507,Completed,-0.1008,2026-05-01T05:43:07.000Z
+61404955462,Completed,-0.06,2026-05-01T05:41:44.000Z
+61876660507,Completed,-0.0756,2026-05-01T05:21:00.000Z
+61451901703,Completed,-0.05,2026-05-01T05:18:57.000Z
+61876660507,Completed,-0.126,2026-05-01T03:38:01.000Z
+61894794988,Completed,-0.06,2026-05-01T03:36:46.000Z
+61427890263,Completed,-0.01,2026-05-01T03:26:11.000Z
+61876660507,Completed,-0.1008,2026-05-01T03:02:18.000Z
+61423683937,Completed,-0.08,2026-05-01T02:58:21.000Z
+61876660507,Completed,-0.0504,2026-05-01T01:51:52.000Z
+61451600127,Completed,-0.07,2026-05-01T01:47:07.000Z
+61876660507,Completed,-0.0756,2026-05-01T00:59:04.000Z
+61405107200,Completed,-0.05,2026-05-01T00:57:22.000Z
+61497878249,Completed,-0.03,2026-05-01T00:47:53.000Z
+61893263044,Completed,-0.01,2026-05-01T00:41:05.000Z
+61415065093,Completed,-0.01,2026-05-01T00:07:41.000Z
+61876660507,Completed,-0.1008,2026-04-30T06:51:50.000Z
+61433967575,Completed,-0.05,2026-04-30T06:50:10.000Z
+61876660507,Completed,-0.075,2026-04-30T06:48:20.000Z
+61433967575,Completed,-0.03,2026-04-30T06:46:31.000Z
+61438996755,Completed,-0.03,2026-04-30T06:03:51.000Z
+61876660507,Completed,-0.2268,2026-04-30T04:58:39.000Z
+61412745368,Completed,-0.11,2026-04-30T04:57:25.000Z
+61876660507,Completed,-0.0504,2026-04-30T04:50:31.000Z
+61403196221,Completed,-0.03,2026-04-30T04:49:23.000Z
+61876660507,Completed,-0.2268,2026-04-30T04:36:57.000Z
+61414840159,Completed,-0.13,2026-04-30T04:33:19.000Z
+61876660507,Completed,-0.1008,2026-04-30T04:01:53.000Z
+61876660507,Completed,-0.2016,2026-04-30T04:00:58.000Z
+61402425229,Completed,-0.06,2026-04-30T03:59:53.000Z
+61434936691,Completed,-0.11,2026-04-30T03:58:30.000Z
+61876660507,Completed,-0.0756,2026-04-30T03:29:57.000Z
+61404824627,Completed,-0.04,2026-04-30T03:28:38.000Z
