From,Status,Price,Date Created
+61876660507,Completed,-0.0504,2026-04-28T06:59:31.000Z
+61894794988,Completed,-0.04,2026-04-28T06:57:36.000Z
+61478485647,Completed,-0.01,2026-04-28T06:38:14.000Z
+61876660507,Completed,-0.2268,2026-04-28T06:20:56.000Z
+61431834580,Completed,-0.11,2026-04-28T06:19:00.000Z
+61431834580,Completed,-0.01,2026-04-28T06:18:37.000Z
+61879478573,Completed,-0.0405,2026-04-28T06:03:27.000Z
+61879478573,Failed,0.0,2026-04-28T06:03:27.000Z
+61879478573,Failed,0.0,2026-04-28T06:03:26.000Z
+61876660507,Completed,-0.0756,2026-04-28T04:09:58.000Z
+61417776969,Completed,-0.04,2026-04-28T04:08:34.000Z
+61878133502,Completed,-0.0504,2026-04-28T02:58:02.000Z
+61876660507,Completed,-0.0252,2026-04-28T02:57:50.000Z
+61419392123,Completed,-0.03,2026-04-28T02:56:49.000Z
+61894794988,Completed,-0.03,2026-04-28T02:56:17.000Z
+61876660507,Completed,-0.0252,2026-04-28T02:55:26.000Z
+61894794988,Completed,-0.03,2026-04-28T02:53:46.000Z
+61876660507,Completed,-0.0252,2026-04-28T02:41:46.000Z
+61755725188,Completed,-0.03,2026-04-28T02:39:31.000Z
+61876660507,Completed,-0.0252,2026-04-28T01:53:56.000Z
+61876660507,Completed,-0.1512,2026-04-28T01:51:53.000Z
+61413182206,Completed,-0.07,2026-04-28T01:48:23.000Z
+61432274413,Completed,-0.1,2026-04-28T01:47:42.000Z
+61416065135,Completed,-0.01,2026-04-28T01:45:48.000Z
+61406194431,Completed,-0.03,2026-04-28T01:33:26.000Z
+61416065135,Completed,-0.01,2026-04-28T01:29:28.000Z
+61876660507,Completed,-0.126,2026-04-28T01:16:21.000Z
+61435446100,Completed,-0.07,2026-04-28T01:14:25.000Z
+61405107200,Completed,-0.02,2026-04-28T00:35:33.000Z
+61449096272,Completed,-0.03,2026-04-28T00:02:52.000Z
+61493216121,Completed,-0.03,2026-04-27T07:40:36.000Z
+61401239424,Completed,-0.04,2026-04-27T05:16:01.000Z
+61433967575,Completed,-0.04,2026-04-27T05:10:10.000Z
+61433967575,Completed,-0.01,2026-04-27T05:09:36.000Z
+61427313040,Completed,-0.01,2026-04-27T04:05:28.000Z
+61427313040,Completed,-0.01,2026-04-27T04:04:38.000Z
+61411570299,Completed,-0.05,2026-04-27T02:46:11.000Z
+61756019234,Completed,-0.01,2026-04-27T02:07:53.000Z
+61411774963,Completed,-0.02,2026-04-26T20:53:45.000Z
+61875628058,Failed,0.0,2026-04-24T20:45:53.000Z
+61878133502,No Answer,,2026-04-24T11:24:51.000Z
+61879478573,Completed,-0.0994,2026-04-24T11:23:31.000Z
+61878133502,No Answer,,2026-04-24T11:22:08.000Z
+61879478573,Completed,-0.1491,2026-04-24T11:21:08.000Z
+61878133502,No Answer,,2026-04-24T10:51:05.000Z
+61879478573,Completed,-0.0405,2026-04-24T10:50:17.000Z
+61878133502,No Answer,,2026-04-24T10:48:56.000Z
+61879478573,Completed,-0.0405,2026-04-24T10:48:11.000Z
+61878133502,No Answer,,2026-04-24T10:40:36.000Z
+61879478573,Completed,-0.0405,2026-04-24T10:39:45.000Z
+61879478573,Completed,-0.0405,2026-04-24T10:38:04.000Z
+61879478573,Completed,-0.0405,2026-04-24T10:35:13.000Z
+61879478573,Completed,-0.0405,2026-04-24T10:31:47.000Z
+61878133502,No Answer,,2026-04-24T10:28:06.000Z
+61879478573,Completed,-0.0405,2026-04-24T10:27:20.000Z
+61878133502,No Answer,,2026-04-24T10:23:40.000Z
+61879478573,Completed,-0.0405,2026-04-24T10:23:01.000Z
+61879478573,No Answer,,2026-04-24T10:22:43.000Z
+61878133502,No Answer,,2026-04-24T10:18:45.000Z
+61879478573,Completed,-0.0405,2026-04-24T10:18:01.000Z
+61878133502,No Answer,,2026-04-24T10:16:11.000Z
+61879478573,Completed,-0.081,2026-04-24T10:15:12.000Z
+61879478573,Completed,-0.1215,2026-04-24T10:09:25.000Z
+61879478573,Completed,-0.081,2026-04-24T10:05:28.000Z
+61879478573,Completed,-0.1215,2026-04-24T10:01:15.000Z
+61879478573,Completed,-0.081,2026-04-24T09:54:15.000Z
+61879478573,Completed,-0.0405,2026-04-24T09:52:54.000Z
+61879478573,Completed,-0.081,2026-04-24T09:50:13.000Z
+61400084582,Completed,-0.01,2026-04-24T07:36:48.000Z
+61876660507,Completed,-0.2016,2026-04-24T06:28:17.000Z
+61413423432,Completed,-0.09,2026-04-24T06:26:50.000Z
+61413423432,Completed,-0.01,2026-04-24T06:26:26.000Z
+61432274413,Completed,-0.03,2026-04-24T06:24:03.000Z
+61432274413,Completed,-0.01,2026-04-24T06:23:31.000Z
+61876660507,Completed,-0.1764,2026-04-24T05:26:10.000Z
+61420878615,Completed,-0.09,2026-04-24T05:24:10.000Z
+61879478573,Completed,-0.0994,2026-04-24T05:08:00.000Z
+61407015717,Completed,-0.02,2026-04-24T04:57:05.000Z
+61407015717,Completed,-0.01,2026-04-24T04:56:20.000Z
+61482053508,Completed,-0.03,2026-04-24T04:03:54.000Z
+61406691945,Completed,-0.02,2026-04-24T03:55:45.000Z
+61405084974,Completed,-0.07,2026-04-24T03:20:05.000Z
+61425400868,Completed,-0.01,2026-04-24T02:58:09.000Z
+61406194431,Completed,-0.02,2026-04-24T02:54:10.000Z
+61876660507,Completed,-0.1008,2026-04-24T01:47:49.000Z
+61895355500,Completed,-0.06,2026-04-24T01:45:26.000Z
+61422115509,Completed,-0.01,2026-04-23T13:20:56.000Z
+61737228990,Completed,-0.01,2026-04-23T09:52:41.000Z
+61895355500,Completed,-0.01,2026-04-23T08:29:01.000Z
+61407456121,Completed,-0.01,2026-04-23T07:21:37.000Z
+61412244866,Completed,-0.02,2026-04-23T06:52:47.000Z
+61876660507,Completed,-0.0756,2026-04-23T06:32:23.000Z
+61484557630,Completed,-0.04,2026-04-23T06:31:03.000Z
+61876660507,Completed,-0.0504,2026-04-23T06:29:20.000Z
+61876660507,Completed,-0.0756,2026-04-23T06:28:49.000Z
+61484557630,Completed,-0.03,2026-04-23T06:28:13.000Z
anonymous,Completed,-0.04,2026-04-23T06:27:37.000Z
+61407456121,Completed,0.0,2026-04-23T06:06:09.000Z
+61876660507,Completed,-0.0504,2026-04-23T05:26:27.000Z
+61428136366,Completed,-0.03,2026-04-23T05:25:12.000Z
+61424274018,Completed,-0.04,2026-04-23T05:20:58.000Z
+61878133502,Completed,-0.1008,2026-04-23T05:10:38.000Z
+61418945310,Completed,-0.06,2026-04-23T05:08:50.000Z
+61419003636,Completed,-0.02,2026-04-23T04:43:36.000Z
+61876660507,Completed,-0.1008,2026-04-23T04:31:15.000Z
+61746889700,Completed,-0.06,2026-04-23T04:29:55.000Z
+61876660507,Completed,-0.126,2026-04-23T04:22:19.000Z
+61413891773,Completed,-0.07,2026-04-23T04:20:29.000Z
+61861634100,Completed,-0.01,2026-04-23T03:27:27.000Z
+61407259461,Completed,-0.01,2026-04-23T03:02:04.000Z
+61876660507,Completed,-0.0756,2026-04-23T03:02:00.000Z
+61432044412,Completed,-0.07,2026-04-23T02:58:33.000Z
+61405165774,Completed,-0.05,2026-04-23T02:40:18.000Z
+61418911289,Completed,-0.02,2026-04-23T02:26:23.000Z
+61876660507,Completed,-0.1512,2026-04-23T02:24:46.000Z
+61420579149,Completed,-0.08,2026-04-23T02:22:51.000Z
+61876660507,Completed,-0.0756,2026-04-23T02:22:28.000Z
+61418788652,Completed,-0.07,2026-04-23T02:18:49.000Z
+61876660507,Completed,-0.126,2026-04-23T02:11:25.000Z
+61424165358,Completed,-0.06,2026-04-23T02:09:54.000Z
+61411570299,Completed,-0.03,2026-04-23T01:57:05.000Z
