From,Status,Price,Date Created
+61402171671,completed,-0.05565,2026-05-31T21:48:15.000Z
+61433998114,completed,-0.04174,2026-05-30T03:05:12.000Z
+61875628058,failed,0.0,2026-05-29T18:01:25.000Z
+61875628058,failed,0.0,2026-05-29T18:01:00.000Z
(406) 964-6060,completed,-0.069,2026-05-29T10:22:15.000Z
(406) 964-6060,failed,0.0,2026-05-29T10:22:16.000Z
(406) 964-6060,completed,-0.069,2026-05-29T10:22:04.000Z
(406) 964-6060,failed,0.0,2026-05-29T10:22:09.000Z
+61748026302,completed,-0.20868,2026-05-29T08:50:06.000Z
+61748026302,completed,-0.31302,2026-05-29T08:46:37.000Z
+61876660507,completed,-0.14023,2026-05-29T08:19:34.000Z
+61432057981,completed,-0.06956,2026-05-29T08:18:17.000Z
+61748026302,completed,-0.10434,2026-05-29T07:50:00.000Z
+61748026302,completed,-0.10434,2026-05-29T07:33:15.000Z
+61876660507,completed,-0.07012,2026-05-29T06:58:15.000Z
+61413423432,completed,-0.04174,2026-05-29T06:56:37.000Z
+61748026302,completed,-0.41736,2026-05-29T06:49:13.000Z
+61748026302,completed,-0.10434,2026-05-29T06:49:13.000Z
+61748026302,completed,-0.10434,2026-05-29T06:49:13.000Z
+61748026302,no-answer,,2026-05-29T06:49:13.000Z
+61878133502,completed,-0.10517,2026-05-29T05:32:57.000Z
+61861634122,completed,-0.05565,2026-05-29T05:31:58.000Z
+61419277324,completed,-0.12521,2026-05-29T05:28:50.000Z
+61408955692,completed,-0.01391,2026-05-29T04:48:31.000Z
+61876660507,completed,-0.17529,2026-05-29T04:46:47.000Z
+61409689681,completed,-0.09738,2026-05-29T04:44:42.000Z
+61487729085,completed,-0.01391,2026-05-29T04:33:20.000Z
+61876660507,completed,-0.17529,2026-05-29T04:11:15.000Z
+61452137869,completed,-0.1113,2026-05-29T04:08:23.000Z
+61452137869,completed,-0.01391,2026-05-29T04:07:50.000Z
+61416653740,completed,-0.02782,2026-05-29T03:48:40.000Z
+61876660507,completed,-0.14023,2026-05-29T03:27:18.000Z
+61487729085,completed,-0.08347,2026-05-29T03:25:37.000Z
+61748026302,completed,-0.10434,2026-05-29T02:30:10.000Z
+61748026302,completed,-0.14023,2026-05-29T02:30:12.000Z
+61748026302,completed,-0.07012,2026-05-29T02:30:11.000Z
+61876660507,completed,-0.14023,2026-05-29T02:27:26.000Z
+61414835128,completed,-0.06956,2026-05-29T02:26:09.000Z
+61432114099,completed,-0.01391,2026-05-29T02:16:26.000Z
+61748026302,completed,-0.10434,2026-05-29T02:15:24.000Z
+61748026302,completed,-0.10517,2026-05-29T02:15:26.000Z
+61748026302,completed,-0.10517,2026-05-29T02:15:19.000Z
+61748026302,completed,-0.10517,2026-05-29T02:00:30.000Z
+61748026302,completed,-0.10517,2026-05-29T02:00:26.000Z
+61748026302,completed,-0.20868,2026-05-29T02:00:23.000Z
+61876660507,completed,-0.31552,2026-05-29T00:57:08.000Z
+61414835128,completed,-0.13912,2026-05-29T00:55:51.000Z
+61878133502,completed,-0.03506,2026-05-29T00:52:48.000Z
+61403786837,completed,-0.04174,2026-05-29T00:51:07.000Z
(406) 964-6060,completed,-0.069,2026-05-28T11:30:10.000Z
(406) 964-6060,failed,0.0,2026-05-28T11:30:06.000Z
(406) 964-6060,failed,0.0,2026-05-28T11:00:37.000Z
(406) 964-6060,no-answer,,2026-05-28T11:00:37.000Z
(406) 964-6060,failed,0.0,2026-05-28T11:00:19.000Z
(406) 964-6060,no-answer,,2026-05-28T11:00:17.000Z
(406) 964-6060,completed,-0.069,2026-05-28T10:45:18.000Z
(406) 964-6060,failed,0.0,2026-05-28T10:45:18.000Z
+61748026302,completed,-0.41736,2026-05-28T10:37:49.000Z
+61748026302,completed,-0.07012,2026-05-28T10:37:48.000Z
+61748026302,completed,-0.10517,2026-05-28T10:37:48.000Z
+61878133502,completed,-0.10517,2026-05-28T07:51:24.000Z
+61457202641,completed,-0.05565,2026-05-28T07:50:01.000Z
(406) 964-6060,completed,-0.069,2026-05-28T07:33:23.000Z
(406) 964-6060,failed,0.0,2026-05-28T07:33:23.000Z
+61876660507,completed,-0.17529,2026-05-28T07:26:32.000Z
+61400829203,completed,-0.09738,2026-05-28T07:24:40.000Z
(406) 964-6060,busy,,2026-05-28T07:24:34.000Z
(406) 964-6060,no-answer,,2026-05-28T07:24:34.000Z
(406) 964-6060,no-answer,,2026-05-28T07:24:34.000Z
(406) 964-6060,no-answer,,2026-05-28T07:24:34.000Z
+61876660507,completed,-0.10517,2026-05-28T07:02:00.000Z
+61429374844,completed,-0.05565,2026-05-28T07:00:43.000Z
+61876660507,completed,-0.21035,2026-05-28T06:53:18.000Z
+61450090781,completed,-0.1113,2026-05-28T06:51:10.000Z
+61876660507,completed,-0.31552,2026-05-28T05:27:56.000Z
+61488440403,completed,-0.13912,2026-05-28T05:26:30.000Z
+61876660507,completed,-0.10517,2026-05-28T04:32:36.000Z
+61458053269,completed,-0.05565,2026-05-28T04:31:02.000Z
+61414233026,completed,-0.12521,2026-05-28T00:13:14.000Z
+61400084582,completed,-0.01391,2026-05-27T09:03:43.000Z
+61400084582,completed,-0.02782,2026-05-27T09:02:50.000Z
+61876660507,completed,-0.17529,2026-05-27T07:56:51.000Z
+61448671708,completed,-0.1113,2026-05-27T07:54:13.000Z
+61876660507,completed,-0.14023,2026-05-27T07:30:39.000Z
+61447197728,completed,-0.06956,2026-05-27T07:29:07.000Z
+61428800622,completed,-0.01391,2026-05-27T06:35:44.000Z
+61428800622,completed,-0.01391,2026-05-27T06:24:03.000Z
+917988395767,completed,-0.1113,2026-05-27T06:21:12.000Z
+61876660507,completed,-0.10517,2026-05-27T06:10:37.000Z
+917988395767,completed,-0.04174,2026-05-27T06:10:37.000Z
+61413608995,completed,-0.05565,2026-05-27T06:08:52.000Z
+61450090781,completed,-0.01391,2026-05-27T06:00:01.000Z
+61432114099,completed,-0.01391,2026-05-27T04:48:51.000Z
+61879478573,completed,-0.069,2026-05-27T04:41:50.000Z
+61879478573,no-answer,,2026-05-27T04:41:48.000Z
+61879478573,no-answer,,2026-05-27T04:18:42.000Z
+61879478573,no-answer,,2026-05-27T04:18:40.000Z
+61876660507,completed,-0.24541,2026-05-27T04:17:44.000Z
+61402969019,completed,-0.12521,2026-05-27T04:16:21.000Z
+918146726626,failed,0.0,2026-05-27T04:02:37.000Z
+918146726626,failed,0.0,2026-05-27T04:02:26.000Z
+61879478573,completed,-0.41402,2026-05-27T03:57:19.000Z
+61879478573,no-answer,,2026-05-27T03:57:20.000Z
+61879478573,completed,-0.069,2026-05-27T03:45:45.000Z
+61879478573,no-answer,,2026-05-27T03:45:44.000Z
+61876660507,completed,-0.17529,2026-05-27T03:35:34.000Z
+61895355500,completed,-0.04174,2026-05-27T03:35:34.000Z
+61417881068,completed,-0.08347,2026-05-27T03:34:15.000Z
+61417881068,completed,-0.01391,2026-05-27T03:33:48.000Z
+61876660507,completed,-0.03506,2026-05-27T03:31:03.000Z
+61417881068,completed,-0.02782,2026-05-27T03:29:40.000Z
+61878133502,completed,-0.10517,2026-05-27T01:29:30.000Z
+61417973212,completed,-0.05565,2026-05-27T01:27:48.000Z
+61419441144,completed,-0.06956,2026-05-27T01:20:53.000Z
+61876660507,completed,-0.17529,2026-05-27T00:55:11.000Z
+61429374844,completed,-0.1113,2026-05-27T00:52:55.000Z
+61499800351,completed,-0.01391,2026-05-26T06:07:26.000Z
+61876660507,completed,-0.21035,2026-05-26T05:37:49.000Z
+61452480929,completed,-0.12521,2026-05-26T05:35:12.000Z
+61876660507,completed,-0.10517,2026-05-26T04:38:58.000Z
+61413505647,completed,-0.05565,2026-05-26T04:37:41.000Z
+61492314577,completed,-0.04174,2026-05-26T03:14:28.000Z
+61876660507,completed,-0.03506,2026-05-26T03:10:46.000Z
+61401289655,completed,-0.04174,2026-05-26T03:08:57.000Z
+61400084582,completed,-0.01391,2026-05-26T02:43:03.000Z
+61876660507,completed,-0.07012,2026-05-26T02:33:41.000Z
+61410620989,completed,-0.05565,2026-05-26T02:31:46.000Z
+61400084582,completed,-0.01391,2026-05-26T01:36:20.000Z
+61876660507,completed,-0.17529,2026-05-25T06:28:17.000Z
+61413875945,completed,-0.12521,2026-05-25T06:25:06.000Z
+917988395767,no-answer,,2026-05-25T06:08:48.000Z
+61428800622,completed,-0.01391,2026-05-25T05:32:04.000Z
+61451352408,completed,-0.1113,2026-05-25T05:15:44.000Z
+61876660507,completed,-0.4207,2026-05-25T04:27:54.000Z
+61488440403,completed,-0.19477,2026-05-25T04:26:02.000Z
+61876660507,completed,-0.17529,2026-05-25T04:20:53.000Z
+61487055560,completed,-0.09738,2026-05-25T04:19:02.000Z
+61487055560,completed,-0.01391,2026-05-25T04:18:13.000Z
+61487055560,completed,-0.01391,2026-05-25T04:17:17.000Z
+61488112381,completed,-0.01391,2026-05-25T04:13:35.000Z
+61876660507,completed,-0.14023,2026-05-25T03:40:41.000Z
+61876660507,completed,-0.10517,2026-05-25T03:39:21.000Z
+61414233026,completed,-0.09738,2026-05-25T03:37:31.000Z
anonymous,completed,-0.06956,2026-05-25T03:37:01.000Z
+61876660507,completed,-0.10434,2026-05-25T03:00:02.000Z
