From,Status,Price,Date Created
+61865528544,Completed,-0.03,2026-06-30T06:47:53.000Z
+61458697788,Completed,-0.03,2026-06-30T06:10:06.000Z
+61458697788,Completed,-0.03,2026-06-30T05:06:52.000Z
+61748294816,Completed,-0.05,2026-06-30T04:49:50.000Z
+61409413112,Completed,-0.02,2026-06-30T04:47:09.000Z
+61409413112,Completed,-0.01,2026-06-30T04:45:27.000Z
+61400140453,Completed,-0.03,2026-06-30T04:37:15.000Z
+61418908881,Completed,-0.03,2026-06-30T03:15:20.000Z
+61492903813,Completed,-0.04,2026-06-30T02:58:36.000Z
+61437073994,Completed,-0.03,2026-06-30T01:45:53.000Z
+61456208654,Completed,-0.04,2026-06-30T01:41:27.000Z
+61490697245,Completed,-0.04,2026-06-30T01:13:54.000Z
+61476252783,Completed,-0.02,2026-06-30T00:42:13.000Z
+61876660507,Completed,-0.252,2026-06-29T06:15:56.000Z
+61414341063,Completed,-0.14,2026-06-29T06:12:12.000Z
+61876660507,Completed,-0.1764,2026-06-29T06:00:37.000Z
+61417615630,Completed,-0.08,2026-06-29T05:59:28.000Z
+61876660507,Completed,-0.1512,2026-06-29T05:41:57.000Z
+61408266839,Completed,-0.12,2026-06-29T05:36:11.000Z
+61876660507,Completed,-0.0504,2026-06-29T05:25:14.000Z
+61490697245,Completed,-0.04,2026-06-29T05:23:49.000Z
+61490697245,Completed,-0.01,2026-06-29T05:22:16.000Z
+61876660507,Completed,-0.126,2026-06-29T05:13:25.000Z
+61490697245,Completed,-0.07,2026-06-29T05:11:18.000Z
+61876660507,Completed,-0.1764,2026-06-29T04:51:24.000Z
+61400140453,Completed,-0.08,2026-06-29T04:49:58.000Z
+61876660507,Completed,-0.1512,2026-06-29T04:39:01.000Z
+61400140453,Completed,-0.08,2026-06-29T04:36:50.000Z
+61876660507,Completed,-0.2268,2026-06-29T04:10:44.000Z
+61400140453,Completed,-0.11,2026-06-29T04:09:09.000Z
+61878133502,Completed,-0.0756,2026-06-29T03:27:55.000Z
+61876660507,Completed,-0.1008,2026-06-29T03:27:35.000Z
+61475404567,Completed,-0.06,2026-06-29T03:25:04.000Z
+61876660507,Completed,-0.126,2026-06-29T03:25:03.000Z
+61428812522,Completed,-0.07,2026-06-29T03:24:40.000Z
+61400140453,Completed,-0.08,2026-06-29T03:22:51.000Z
+61475404567,Completed,-0.02,2026-06-29T03:22:49.000Z
+61429838808,Completed,-0.03,2026-06-29T03:12:58.000Z
+61876660507,Completed,-0.0756,2026-06-29T03:06:19.000Z
+61478819964,Completed,-0.06,2026-06-29T03:04:08.000Z
+61876660507,Completed,-0.0504,2026-06-29T00:39:04.000Z
+61876660507,Completed,-0.1008,2026-06-29T00:37:53.000Z
+61450934452,Completed,-0.04,2026-06-29T00:37:15.000Z
+61876660507,Completed,-0.0252,2026-06-29T00:36:37.000Z
+61402843976,Completed,-0.07,2026-06-29T00:35:24.000Z
+61450934452,Completed,-0.02,2026-06-29T00:35:12.000Z
+61450297646,Completed,-0.03,2026-06-29T00:24:57.000Z
+61875628058,Failed,0.0,2026-06-27T10:01:53.000Z
+61875628058,Failed,0.0,2026-06-27T10:00:14.000Z
+61875628058,Failed,0.0,2026-06-27T09:58:47.000Z
+61497402413,Completed,-0.03,2026-06-27T07:48:00.000Z
